,stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
0,CD1,2018-03-31 07:00:00,9.9,14.3,70.4,,,
1,BL0,2018-03-31 07:00:00,8.5,8.8,44.8,,,
2,GR4,2018-03-31 07:00:00,4.8,8.9,16.5,,,
3,MY7,2018-03-31 07:00:00,9.3,10.4,,,,
4,HV1,2018-03-31 07:00:00,8.6,10.5,35.7,,,
5,GN3,2018-03-31 07:00:00,7.4,10.6,48.9,,,
6,GR9,2018-03-31 07:00:00,3.8,6.6,36.5,,,
7,LW2,2018-03-31 07:00:00,14.4,24.1,43.3,,,
8,GN0,2018-03-31 07:00:00,7.4,13.1,57.5,,,
9,KF1,2018-03-31 07:00:00,5.9,6.9,,,,
10,CD9,2018-03-31 07:00:00,13.1,12.9,41.8,,,
11,CT3,2018-03-31 07:00:00,,12.6,27.3,,,
12,CT2,2018-03-31 07:00:00,5.0,,,,,
13,BX9,2018-03-31 07:00:00,7.0,,,,,
14,BX1,2018-03-31 07:00:00,,10.1,22.0,,,
15,TH4,2018-03-31 07:00:00,10.0,19.7,58.9,,,
16,ST5,2018-03-31 07:00:00,3.0,4.0,17.3,,,
17,RB7,2018-03-31 07:00:00,,15.0,22.0,,,
18,TD5,2018-03-31 07:00:00,8.7,,,,,
19,CD1,2018-03-31 08:00:00,10.9,10.7,37.6,,,
20,BL0,2018-03-31 08:00:00,4.9,10.8,68.1,,,
21,GR4,2018-03-31 08:00:00,9.1,7.1,14.9,,,
22,MY7,2018-03-31 08:00:00,10.9,14.3,,,,
23,HV1,2018-03-31 08:00:00,5.6,7.0,24.2,,,
24,GN3,2018-03-31 08:00:00,13.0,17.8,59.4,,,
25,GR9,2018-03-31 08:00:00,7.8,9.7,29.5,,,
26,LW2,2018-03-31 08:00:00,18.6,29.7,57.5,,,
27,GN0,2018-03-31 08:00:00,12.6,18.0,67.2,,,
28,KF1,2018-03-31 08:00:00,5.3,6.6,,,,
29,CD9,2018-03-31 08:00:00,8.9,11.5,48.8,,,
30,CT3,2018-03-31 08:00:00,,16.2,28.1,,,
31,CT2,2018-03-31 08:00:00,10.0,,,,,
32,BX9,2018-03-31 08:00:00,10.6,,,,,
33,BX1,2018-03-31 08:00:00,,8.6,9.0,,,
34,TH4,2018-03-31 08:00:00,12.5,24.5,78.0,,,
35,ST5,2018-03-31 08:00:00,3.0,12.0,13.5,,,
36,RB7,2018-03-31 08:00:00,,11.2,21.6,,,
37,TD5,2018-03-31 08:00:00,6.8,,,,,
38,CD1,2018-03-31 09:00:00,9.0,9.7,77.6,,,
39,BL0,2018-03-31 09:00:00,2.4,5.6,54.1,,,
40,GR4,2018-03-31 09:00:00,5.2,8.7,14.7,,,
41,MY7,2018-03-31 09:00:00,7.4,5.8,,,,
42,HV1,2018-03-31 09:00:00,6.7,9.8,21.4,,,
43,GN3,2018-03-31 09:00:00,6.1,7.6,50.6,,,
44,GR9,2018-03-31 09:00:00,5.4,10.0,29.9,,,
45,LW2,2018-03-31 09:00:00,15.4,11.5,47.1,,,
46,GN0,2018-03-31 09:00:00,10.4,16.9,56.6,,,
47,KF1,2018-03-31 09:00:00,4.0,5.0,,,,
48,CD9,2018-03-31 09:00:00,9.4,8.8,40.9,,,
49,CT3,2018-03-31 09:00:00,,13.0,24.2,,,
50,CT2,2018-03-31 09:00:00,9.0,,,,,
51,BX9,2018-03-31 09:00:00,10.5,,,,,
52,BX1,2018-03-31 09:00:00,,8.3,15.0,,,
53,TH4,2018-03-31 09:00:00,7.0,15.6,62.1,,,
54,ST5,2018-03-31 09:00:00,8.0,10.0,14.3,,,
55,RB7,2018-03-31 09:00:00,,7.6,26.7,,,
56,TD5,2018-03-31 09:00:00,4.5,,,,,
57,CD1,2018-03-31 10:00:00,10.3,10.7,59.7,,,
58,BL0,2018-03-31 10:00:00,4.6,6.5,59.9,,,
59,GR4,2018-03-31 10:00:00,1.0,5.4,6.2,,,
60,MY7,2018-03-31 10:00:00,6.9,6.0,,,,
61,HV1,2018-03-31 10:00:00,6.7,7.4,24.0,,,
62,GN3,2018-03-31 10:00:00,5.4,6.9,46.9,,,
63,GR9,2018-03-31 10:00:00,2.4,4.8,29.0,,,
64,LW2,2018-03-31 10:00:00,16.4,17.5,43.3,,,
65,GN0,2018-03-31 10:00:00,4.1,5.4,44.5,,,
66,KF1,2018-03-31 10:00:00,5.6,6.5,,,,
67,CD9,2018-03-31 10:00:00,10.1,10.2,38.6,,,
68,CT3,2018-03-31 10:00:00,,9.8,25.2,,,
69,CT2,2018-03-31 10:00:00,9.0,,,,,
70,BX9,2018-03-31 10:00:00,6.1,,,,,
71,BX1,2018-03-31 10:00:00,,5.7,18.1,,,
72,TH4,2018-03-31 10:00:00,7.7,16.3,49.0,,,
73,ST5,2018-03-31 10:00:00,10.0,9.0,19.4,,,
74,RB7,2018-03-31 10:00:00,,6.6,21.6,,,
75,TD5,2018-03-31 10:00:00,8.2,,,,,
76,CD1,2018-03-31 11:00:00,11.9,14.4,59.2,,,
77,BL0,2018-03-31 11:00:00,4.4,7.0,50.5,,,
78,GR4,2018-03-31 11:00:00,8.3,0.9,5.1,,,
79,MY7,2018-03-31 11:00:00,7.0,6.9,,,,
80,HV1,2018-03-31 11:00:00,2.0,4.1,16.1,,,
81,GN3,2018-03-31 11:00:00,4.8,8.3,32.7,,,
82,GR9,2018-03-31 11:00:00,3.1,7.2,28.1,,,
83,LW2,2018-03-31 11:00:00,29.1,20.7,41.9,,,
