stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
CD1,2018-03-31 07:00:00,9.9,14.3,70.4,,,
BL0,2018-03-31 07:00:00,8.5,8.8,44.8,,,
GR4,2018-03-31 07:00:00,4.8,8.9,16.5,,,
MY7,2018-03-31 07:00:00,9.3,10.4,,,,
HV1,2018-03-31 07:00:00,8.6,10.5,35.7,,,
GN3,2018-03-31 07:00:00,7.4,10.6,48.9,,,
GR9,2018-03-31 07:00:00,3.8,6.6,36.5,,,
LW2,2018-03-31 07:00:00,14.4,24.1,43.3,,,
GN0,2018-03-31 07:00:00,7.4,13.1,57.5,,,
KF1,2018-03-31 07:00:00,5.9,6.9,,,,
CD9,2018-03-31 07:00:00,13.1,12.9,41.8,,,
CT3,2018-03-31 07:00:00,,12.6,27.3,,,
CT2,2018-03-31 07:00:00,5.0,,,,,
BX9,2018-03-31 07:00:00,7.0,,,,,
BX1,2018-03-31 07:00:00,,10.1,22.0,,,
TH4,2018-03-31 07:00:00,10.0,19.7,58.9,,,
ST5,2018-03-31 07:00:00,3.0,4.0,17.3,,,
RB7,2018-03-31 07:00:00,,15.0,22.0,,,
TD5,2018-03-31 07:00:00,8.7,,,,,
CD1,2018-03-31 08:00:00,10.9,10.7,37.6,,,
BL0,2018-03-31 08:00:00,4.9,10.8,68.1,,,
GR4,2018-03-31 08:00:00,9.1,7.1,14.9,,,
MY7,2018-03-31 08:00:00,10.9,14.3,,,,
HV1,2018-03-31 08:00:00,5.6,7.0,24.2,,,
GN3,2018-03-31 08:00:00,13.0,17.8,59.4,,,
GR9,2018-03-31 08:00:00,7.8,9.7,29.5,,,
LW2,2018-03-31 08:00:00,18.6,29.7,57.5,,,
GN0,2018-03-31 08:00:00,12.6,18.0,67.2,,,
KF1,2018-03-31 08:00:00,5.3,6.6,,,,
CD9,2018-03-31 08:00:00,8.9,11.5,48.8,,,
CT3,2018-03-31 08:00:00,,16.2,28.1,,,
CT2,2018-03-31 08:00:00,10.0,,,,,
BX9,2018-03-31 08:00:00,10.6,,,,,
BX1,2018-03-31 08:00:00,,8.6,9.0,,,
TH4,2018-03-31 08:00:00,12.5,24.5,78.0,,,
ST5,2018-03-31 08:00:00,3.0,12.0,13.5,,,
RB7,2018-03-31 08:00:00,,11.2,21.6,,,
TD5,2018-03-31 08:00:00,6.8,,,,,
CD1,2018-03-31 09:00:00,9.0,9.7,77.6,,,
BL0,2018-03-31 09:00:00,2.4,5.6,54.1,,,
GR4,2018-03-31 09:00:00,5.2,8.7,14.7,,,
MY7,2018-03-31 09:00:00,7.4,5.8,,,,
HV1,2018-03-31 09:00:00,6.7,9.8,21.4,,,
GN3,2018-03-31 09:00:00,6.1,7.6,50.6,,,
GR9,2018-03-31 09:00:00,5.4,10.0,29.9,,,
LW2,2018-03-31 09:00:00,15.4,11.5,47.1,,,
GN0,2018-03-31 09:00:00,10.4,16.9,56.6,,,
KF1,2018-03-31 09:00:00,4.0,5.0,,,,
CD9,2018-03-31 09:00:00,9.4,8.8,40.9,,,
CT3,2018-03-31 09:00:00,,13.0,24.2,,,
CT2,2018-03-31 09:00:00,9.0,,,,,
BX9,2018-03-31 09:00:00,10.5,,,,,
BX1,2018-03-31 09:00:00,,8.3,15.0,,,
TH4,2018-03-31 09:00:00,7.0,15.6,62.1,,,
ST5,2018-03-31 09:00:00,8.0,10.0,14.3,,,
RB7,2018-03-31 09:00:00,,7.6,26.7,,,
TD5,2018-03-31 09:00:00,4.5,,,,,
CD1,2018-03-31 10:00:00,10.3,10.7,59.7,,,
BL0,2018-03-31 10:00:00,4.6,6.5,59.9,,,
GR4,2018-03-31 10:00:00,1.0,5.4,6.2,,,
MY7,2018-03-31 10:00:00,6.9,6.0,,,,
HV1,2018-03-31 10:00:00,6.7,7.4,24.0,,,
GN3,2018-03-31 10:00:00,5.4,6.9,46.9,,,
GR9,2018-03-31 10:00:00,2.4,4.8,29.0,,,
LW2,2018-03-31 10:00:00,16.4,17.5,43.3,,,
GN0,2018-03-31 10:00:00,4.1,5.4,44.5,,,
KF1,2018-03-31 10:00:00,5.6,6.5,,,,
CD9,2018-03-31 10:00:00,10.1,10.2,38.6,,,
CT3,2018-03-31 10:00:00,,9.8,25.2,,,
CT2,2018-03-31 10:00:00,9.0,,,,,
BX9,2018-03-31 10:00:00,6.1,,,,,
BX1,2018-03-31 10:00:00,,5.7,18.1,,,
TH4,2018-03-31 10:00:00,7.7,16.3,49.0,,,
ST5,2018-03-31 10:00:00,10.0,9.0,19.4,,,
RB7,2018-03-31 10:00:00,,6.6,21.6,,,
TD5,2018-03-31 10:00:00,8.2,,,,,
CD1,2018-03-31 11:00:00,11.9,14.4,59.2,,,
BL0,2018-03-31 11:00:00,4.4,7.0,50.5,,,
GR4,2018-03-31 11:00:00,8.3,0.9,5.1,,,
MY7,2018-03-31 11:00:00,7.0,6.9,,,,
HV1,2018-03-31 11:00:00,2.0,4.1,16.1,,,
GN3,2018-03-31 11:00:00,4.8,8.3,32.7,,,
GR9,2018-03-31 11:00:00,3.1,7.2,28.1,,,
LW2,2018-03-31 11:00:00,29.1,20.7,41.9,,,
GN0,2018-03-31 11:00:00,7.8,6.4,40.7,,,
KF1,2018-03-31 11:00:00,4.9,5.7,,,,
CD9,2018-03-31 11:00:00,10.7,10.5,35.9,,,
CT3,2018-03-31 11:00:00,,15.0,20.9,,,
CT2,2018-03-31 11:00:00,10.0,,,,,
BX9,2018-03-31 11:00:00,4.8,,,,,
BX1,2018-03-31 11:00:00,,5.0,7.9,,,
TH4,2018-03-31 11:00:00,8.6,20.2,50.4,,,
ST5,2018-03-31 11:00:00,8.0,7.0,17.3,,,
RB7,2018-03-31 11:00:00,,5.0,15.9,,,
TD5,2018-03-31 11:00:00,11.8,,,,,
CD1,2018-03-31 12:00:00,10.2,13.7,47.5,,,
BL0,2018-03-31 12:00:00,6.6,8.8,43.6,,,
GR4,2018-03-31 12:00:00,3.8,10.4,5.3,,,
MY7,2018-03-31 12:00:00,8.5,8.3,,,,
HV1,2018-03-31 12:00:00,4.5,4.8,15.4,,,
GN3,2018-03-31 12:00:00,6.9,8.1,29.6,,,
GR9,2018-03-31 12:00:00,6.4,7.0,25.1,,,
LW2,2018-03-31 12:00:00,14.0,14.1,34.4,,,
GN0,2018-03-31 12:00:00,6.5,7.2,32.0,,,
KF1,2018-03-31 12:00:00,5.9,6.8,,,,
CD9,2018-03-31 12:00:00,10.2,10.6,30.6,,,
CT3,2018-03-31 12:00:00,,13.0,21.0,,,
CT2,2018-03-31 12:00:00,7.0,,,,,
BX9,2018-03-31 12:00:00,7.7,,,,,
BX1,2018-03-31 12:00:00,,5.2,6.6,,,
TH4,2018-03-31 12:00:00,10.1,16.1,47.2,,,
ST5,2018-03-31 12:00:00,7.0,7.0,17.2,,,
RB7,2018-03-31 12:00:00,,10.0,20.4,,,
TD5,2018-03-31 12:00:00,10.2,,,,,
CD1,2018-03-31 13:00:00,13.2,13.8,42.1,,,
BL0,2018-03-31 13:00:00,8.7,10.9,43.4,,,
GR4,2018-03-31 13:00:00,6.2,6.9,4.8,,,
MY7,2018-03-31 13:00:00,8.2,11.5,,,,
HV1,2018-03-31 13:00:00,6.5,6.6,14.7,,,
GN3,2018-03-31 13:00:00,7.1,7.6,25.3,,,
GR9,2018-03-31 13:00:00,5.4,10.2,20.5,,,
LW2,2018-03-31 13:00:00,19.7,17.1,31.1,,,
GN0,2018-03-31 13:00:00,9.3,11.0,30.3,,,
KF1,2018-03-31 13:00:00,9.1,10.4,,,,
CD9,2018-03-31 13:00:00,13.6,13.6,26.3,,,
