stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2,year,quarter,month,week,weekday,date,day,hour,area
CD1,2018-03-31 07:00:00,9.9,14.3,70.4,,,,2018,1,3,13,5,2018-03-31,31,7,Kerbside
BL0,2018-03-31 07:00:00,8.5,8.8,44.8,,,,2018,1,3,13,5,2018-03-31,31,7,Urban
GR4,2018-03-31 07:00:00,4.8,8.9,16.5,,,,2018,1,3,13,5,2018-03-31,31,7,Suburban
MY7,2018-03-31 07:00:00,9.3,10.4,26.1,,,,2018,1,3,13,5,2018-03-31,31,7,Kerbside
HV1,2018-03-31 07:00:00,8.6,10.5,35.7,,,,2018,1,3,13,5,2018-03-31,31,7,Roadside
GN3,2018-03-31 07:00:00,7.4,10.6,48.9,,,,2018,1,3,13,5,2018-03-31,31,7,Roadside
GR9,2018-03-31 07:00:00,3.8,6.6,36.5,,,,2018,1,3,13,5,2018-03-31,31,7,Roadside
LW2,2018-03-31 07:00:00,14.4,24.1,43.3,,,,2018,1,3,13,5,2018-03-31,31,7,Roadside
GN0,2018-03-31 07:00:00,7.4,13.1,57.5,,,,2018,1,3,13,5,2018-03-31,31,7,Roadside
KF1,2018-03-31 07:00:00,5.9,6.9,49.65,,,,2018,1,3,13,5,2018-03-31,31,7,Urban
CD9,2018-03-31 07:00:00,13.1,12.9,41.8,,,,2018,1,3,13,5,2018-03-31,31,7,Roadside
CT3,2018-03-31 07:00:00,9.05,12.6,27.3,,,,2018,1,3,13,5,2018-03-31,31,7,Urban
CT2,2018-03-31 07:00:00,5.0,11.766666666666666,25.533333333333335,,,,2018,1,3,13,5,2018-03-31,31,7,Kerbside
BX9,2018-03-31 07:00:00,7.0,10.933333333333334,23.766666666666666,,,,2018,1,3,13,5,2018-03-31,31,7,Suburban
BX1,2018-03-31 07:00:00,8.5,10.1,22.0,,,,2018,1,3,13,5,2018-03-31,31,7,Suburban
TH4,2018-03-31 07:00:00,10.0,19.7,58.9,,,,2018,1,3,13,5,2018-03-31,31,7,Roadside
ST5,2018-03-31 07:00:00,3.0,4.0,17.3,,,,2018,1,3,13,5,2018-03-31,31,7,Industrial
RB7,2018-03-31 07:00:00,5.85,15.0,22.0,,,,2018,1,3,13,5,2018-03-31,31,7,Urban
TD5,2018-03-31 07:00:00,8.7,12.85,29.8,,,,2018,1,3,13,5,2018-03-31,31,7,Suburban
CD1,2018-03-31 08:00:00,10.9,10.7,37.6,,,,2018,1,3,13,5,2018-03-31,31,8,Kerbside
BL0,2018-03-31 08:00:00,4.9,10.8,68.1,,,,2018,1,3,13,5,2018-03-31,31,8,Urban
GR4,2018-03-31 08:00:00,9.1,7.1,14.9,,,,2018,1,3,13,5,2018-03-31,31,8,Suburban
MY7,2018-03-31 08:00:00,10.9,14.3,19.55,,,,2018,1,3,13,5,2018-03-31,31,8,Kerbside
HV1,2018-03-31 08:00:00,5.6,7.0,24.2,,,,2018,1,3,13,5,2018-03-31,31,8,Roadside
GN3,2018-03-31 08:00:00,13.0,17.8,59.4,,,,2018,1,3,13,5,2018-03-31,31,8,Roadside
GR9,2018-03-31 08:00:00,7.8,9.7,29.5,,,,2018,1,3,13,5,2018-03-31,31,8,Roadside
LW2,2018-03-31 08:00:00,18.6,29.7,57.5,,,,2018,1,3,13,5,2018-03-31,31,8,Roadside
GN0,2018-03-31 08:00:00,12.6,18.0,67.2,,,,2018,1,3,13,5,2018-03-31,31,8,Roadside
KF1,2018-03-31 08:00:00,5.3,6.6,58.0,,,,2018,1,3,13,5,2018-03-31,31,8,Urban
